v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73
1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
Thrinaxodon,Massetognathus,Probainognathus,Adelobasileus,Haramiyavia,Sinoconodon,Morganucodon,Pachygenelus,Megazostrodon,Hadrocodium,Asfaltomylos,Ambondro,Amphilestes,Amphitherium,Shuotherium,Castorocauda,Pseudotribos,Nanolestes,Fruitafossor,Priacodon,Trioracodon,Haldanodon,Henkelotherium,Dryolestes,Tinodon,Peramus,Spalacotherium,Aegialodon,Gobiconodon,Akidolestes,Eomaia,Sinodelphys,Yanoconodon,Jeholodens,Zhangheotherium,Vincelestes,Murtoilestes,Ausktribosphenos,Bishops,Teinolophos,Repenomamus,Maotherium,Kielantherium,Prokennalestes,Atokatheridium,Holoclemensia,Steropodon,Montanalestes,Kokopellia,Anchistodelphys,Daulestes,Aspanlestes,Eoungulatum,Sulestes,Kennalestes,Asioryctes,Zalambdalestes,Deltatheridium,Asiatherium,Albertatherium,Ukhaatherium,Gypsonictops,Didelphodon,Pediomys,Turgidodon,Cimolestes,Protungulatum,Mayulestes,Pucadelphys,Andinodelphys,Leptictis,Obdurodon,Glyptotherium
0,0,0,NA,0,0,0,0,0,NA,0,NA,1,0,0,NA,0,0,0,1,1,0,0,0,0,0,0,NA,1,NA,0,NA,1,NA,0,NA,NA,0,NA,1,1,0,0,0,NA,NA,NA,0,1,NA,1,NA,NA,1,0,0,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,0,0,0,0,0,4,0,NA,1,2,0,NA,0,2,0,1,1,0,2,2,1,2,2,NA,0,2,1,4,1,1,2,2,NA,0,0,3,1,2,2,1,NA,NA,0,4,2,NA,4,NA,NA,2,4,4,4,2,4,NA,4,4,1,1,1,4,4,4,4,4,4,3,4
0,0,0,NA,0,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,1
0,0,0,NA,2,0,0,0,0,2,2,NA,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,NA,1,NA,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,NA,NA,NA,2,NA,NA,2,NA,NA,2,2,2,2,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,NA,NA,0,0,0,0,1,1,1,NA,1,1,NA,NA,1,1,1,1,0,1,0,1,1,NA,NA,1,NA,1,1,1,1,0,1,NA,1,1,1,1,0,1,1,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,1
0,1,1,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
0,0,0,NA,0,0,0,0,0,0,0,NA,1,1,0,0,0,1,1,1,1,1,1,1,1,1,NA,NA,2,1,1,1,1,1,1,1,NA,0,0,0,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,1,2,2,0,1,1,2,1,NA,NA,2,2,1,1,2,2,2,1,NA,0,0,0,2,2,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,0,0,0,0,0,0,2,NA,2,2,0,0,NA,2,0,2,2,0,2,2,1,2,2,NA,1,2,1,1,2,NA,2,1,NA,2,2,2,2,2,1,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,2,1
0,0,0,NA,0,0,0,0,0,0,2,NA,NA,1,NA,0,NA,NA,0,1,1,0,1,1,NA,1,1,NA,0,1,2,NA,1,NA,1,1,NA,2,2,2,1,1,1,2,NA,NA,NA,2,1,NA,2,NA,NA,1,2,2,2,1,1,NA,NA,2,1,1,1,2,2,1,1,1,2,2,1
0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,0,1,NA,0,1,0,NA,1,0,1,NA,0,0,0,1,NA,0,0,0,0,0,1,1,NA,NA,NA,1,0,NA,0,1,1,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,1,1,1,0,NA,0,NA,0,1,NA,1,1,0,NA,1,1,1,0,NA,0,0,0,1,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,0,0,0,1,NA,0,NA,1,1,NA,NA,0,1,1,1,0,0,0
0,0,0,NA,0,0,0,0,0,0,0,NA,NA,1,0,0,NA,1,1,0,0,0,NA,1,NA,1,0,NA,2,0,2,2,NA,NA,NA,1,NA,0,0,NA,1,0,2,2,NA,NA,NA,3,NA,NA,2,NA,NA,4,2,2,2,4,4,NA,2,2,4,4,4,2,2,4,4,4,2,1,2
0,0,0,NA,2,1,2,0,2,2,2,NA,2,2,NA,2,2,2,2,2,2,2,2,2,NA,2,2,NA,1,2,2,2,2,2,2,2,NA,2,2,2,2,2,NA,2,NA,NA,NA,2,2,NA,2,NA,NA,2,2,2,2,2,2,NA,2,2,2,2,NA,2,2,2,2,2,2,2,2
NA,NA,NA,NA,NA,1,NA,0,0,0,1,NA,1,1,NA,1,1,1,1,2,2,1,1,1,1,1,1,NA,1,1,1,1,2,2,1,1,NA,NA,1,1,1,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,0,0,0,0,0,0,3,NA,1,0,NA,0,0,0,0,1,1,0,1,1,0,0,1,NA,4,1,0,0,1,1,1,1,NA,NA,3,3,1,1,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,0,0,0,NA,NA,0,1,1,1,0,0,0,0,0,0,3,1
NA,NA,0,NA,1,1,1,0,2,1,1,NA,4,3,NA,1,1,3,1,4,4,1,3,3,4,3,4,NA,0,4,3,3,4,4,4,3,NA,1,1,1,4,4,NA,3,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,3,3,3,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,1,3
0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,0,1,NA,0,1,1,1,0,0,0,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,NA,1,1,1,0,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,1,0,0,2,1,2,2,NA,2,2,0,1,0,2,1,1,1,1,2,2,3,2,1,NA,0,1,2,3,1,1,0,2,NA,2,2,2,1,0,3,2,NA,NA,NA,3,3,NA,2,NA,NA,3,2,3,2,3,3,NA,NA,2,NA,NA,NA,2,2,3,3,3,3,2,3
NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,NA,0,0,0,0,1,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,1,1
0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,NA,0,0,0,0,0,NA,1,NA,2,1,1,0,1,1,1,0,0,0,1,1,0,1,1,NA,0,1,1,1,0,0,1,1,NA,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,2,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,1,1,0,1,1,NA,1,1,1,1,0,0,1,1,NA,0,0,0,0,1,1,1,NA,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,1,NA,0,NA,NA,0,0,0,0,0,0,NA,1,0,NA,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,NA,1,1,0,NA,NA,1,1,0,0,0,1,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,1,NA,NA,0,NA,0,0,0,0,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,NA,1,1,0,NA,NA,0,0,0,0,0,1,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,NA,1,1,1,NA,NA,1,1,0,0,0,1,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,1,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,2,2,0,0,NA,2,2,NA,NA,NA,2,2,0,0,0,2,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,2,0,NA,0,0,1,1,0,0,0,1,NA,NA,NA,NA,0,0,NA,2,NA,NA,NA,NA,1,NA,NA,2,0,1,2,2,2,1,1,NA,2,2,NA,NA,NA,2,0,1,1,1,2,NA,NA
NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,1,NA,0,NA,NA,1,NA,1,1,0,0,1,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA
0,NA,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,NA,1,0,1,0,0,0,0,0,0,0,1,NA,0,1,1,NA,0,0,1,1,NA,1,1,NA,1,1,0,1,NA,NA,NA,1,0,NA,NA,1,NA,0,1,1,0,0,0,NA,1,1,0,NA,0,1,1,0,0,0,1,1,NA
NA,NA,NA,NA,NA,1,1,NA,0,0,1,2,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,NA,0,1,2,1,0,1,1,0,NA,2,2,NA,1,1,0,2,NA,NA,NA,2,0,NA,NA,NA,NA,0,0,1,2,0,0,NA,1,2,0,NA,0,1,2,0,0,0,2,0,NA
0,2,0,NA,2,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1,1,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,1,0,0,NA,0,1,0,NA,0,0,1,0,0,0,1,1,NA
0,0,0,NA,NA,0,0,0,0,0,1,3,1,0,1,0,1,0,0,1,1,0,0,0,1,2,1,NA,0,1,1,1,0,1,1,0,NA,3,3,NA,1,1,0,2,NA,NA,NA,2,1,NA,NA,1,NA,1,2,2,2,1,1,NA,2,2,1,NA,1,1,1,1,1,1,2,3,NA
0,0,0,NA,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1,1,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,2,0,0,NA,0,0,1,NA,0,0,0,0,0,0,2,1,NA
0,0,0,NA,0,0,0,0,0,0,NA,1,0,0,1,0,NA,0,0,1,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,1,NA,NA,1,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA
0,0,0,NA,0,0,0,0,0,0,NA,1,0,1,1,NA,1,0,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,NA,1,1,NA,0,1,0,0,NA,NA,NA,1,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,0,1,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,0,1,0,1,0,0,NA,0,1,0,NA,0,0,0,0,0,0,1,NA,NA
NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,1,1,0,0,0,0,1,0,0,0,0,0,NA,0,2,2,NA,0,0,0,0,NA,1,1,NA,0,0,0,2,NA,NA,NA,0,0,NA,0,NA,NA,0,0,1,2,0,0,NA,2,1,0,NA,0,1,1,0,0,0,0,NA,NA
NA,NA,NA,NA,2,0,0,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,1,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,NA,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
0,0,0,NA,1,0,0,0,0,0,3,3,0,3,3,0,3,3,NA,0,0,0,3,3,2,3,3,NA,NA,3,3,3,0,0,3,3,3,3,3,3,0,3,3,3,NA,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,1,0,0,NA,NA,NA,NA,1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,0,0,2,2,0,1,2,0,2,1,NA,0,0,0,1,1,1,1,2,1,NA,2,2,2,0,0,1,1,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,2,NA,NA,NA,0,0,2,NA,NA,NA,NA,0,1,2,1,1,NA,NA,1,1,2,3,4,1,2,2,2,1,2,2,2,3,2,2,1,3,4,1,1,1,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,1,1,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,NA,NA
0,0,0,NA,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,4,0,1,0,2,2,3,3,2,3,2,1,2,3,0,1,1,1,3,3,2,3,2,3,NA,2,3,3,1,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,1,0,0,0,NA,NA,0,0,NA,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,NA,0,1,0,0,0,0,1,0,1,1,1,1,NA
NA,NA,NA,NA,NA,2,2,NA,2,2,NA,NA,1,0,1,2,1,0,NA,1,1,2,2,2,1,0,1,0,0,1,2,1,1,1,1,0,2,2,2,1,1,1,0,2,0,2,1,1,1,2,2,1,1,0,2,2,2,0,1,NA,2,2,0,1,1,2,1,1,2,2,1,1,NA
NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,1,0,NA,0,1,NA,NA,NA,NA,0,0,0,1,0,1,NA,0,NA,1,NA,NA,0,0,2,3,3,1,NA,0,1,1,1,1,1,2,2,3,2,2,3,2,2,2,3,1,3,NA,NA,2,3,3,3,2,2,3,3,3,3,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,1,1,0,1,1,NA,NA,0,0,1,3,3,2,NA,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,NA
0,0,0,0,0,0,2,0,2,NA,0,0,1,0,1,2,1,0,0,1,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,NA,NA,0,0,0,0,2,0,0,2,3,0,3,2,NA,2,NA,0,2,2,0,0,0,2,1,0,1,0,2,2,0,2,1,0,0,0,0,0,2,1,0,2,0,2,2,2,2,2,2,0,2,2,2,NA,2,NA,2,2,2,2,2,2,2,2,2,2,2,0,NA
0,0,0,0,NA,0,0,0,0,0,1,1,1,0,2,0,2,1,NA,0,0,0,NA,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,2,2,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,NA
0,0,0,0,NA,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
